city	state_id	lat	lng
Fall_River	MA	41.7136	-71.1015
South_Gate	CA	33.9447	-118.1926
Suffolk	VA	36.6953	-76.6398
Terre_Haute	IN	39.466	-87.3751
Missoula	MT	46.8751	-114.0214
Santa_Monica	CA	34.0235	-118.481
Roswell	GA	34.0391	-84.3513
Vineland	NJ	39.4653	-74.9981
Plantation	FL	26.1259	-80.2617
Alafaya	FL	28.528	-81.1868
Kirkland	WA	47.697	-122.2057
Hoover	AL	33.3763	-86.8068
Westminster	CA	33.7523	-117.9938
Lawton	OK	34.6175	-98.4202
San_Leandro	CA	37.7074	-122.1599
Auburn	AL	32.6087	-85.4903
Norwalk	CT	41.1144	-73.4215
O'Fallon	MO	38.785	-90.7175
Chino	CA	33.9836	-117.6654
Germantown	MD	39.1755	-77.2643
Dover	NH	43.1887	-70.8845
Bismarck	ND	46.8143	-100.7694
Waukegan	IL	42.3698	-87.8716
Buckeye	AZ	33.4314	-112.6429
Town_'n'_Country	FL	28.0106	-82.5763
Clifton	NJ	40.863	-74.1575
Bloomington	MN	44.8306	-93.3151
Mount_Pleasant	SC	32.8537	-79.8203
Florence	SC	34.178	-79.7898
Newton	MA	42.3316	-71.2085
State_College	PA	40.7909	-77.8567
Livermore	CA	37.6868	-121.7607
Rapid_City	SD	44.0716	-103.2204
Decatur	IL	39.8557	-88.9342
Dalton	GA	34.769	-84.972
Conroe	TX	30.3238	-95.4824
Hawthorne	CA	33.9147	-118.3476
Lawrence	MA	42.7002	-71.1626
New_Braunfels	TX	29.6994	-98.1148
Citrus_Heights	CA	38.6948	-121.288
Jackson	MI	42.2431	-84.4038
Whittier	CA	33.9678	-118.0188
Muncie	IN	40.1989	-85.395
Troy	MI	42.5817	-83.1457
Homosassa_Springs	FL	28.8119	-82.5392
Port_Huron	MI	42.9821	-82.4388
Napa	CA	38.2975	-122.301
Deerfield_Beach	FL	26.305	-80.1277
Springdale	AR	36.1901	-94.1574
Newport_Beach	CA	33.6151	-117.8668
Anderson	IN	40.0891	-85.6892
San_Ramon	CA	37.7624	-121.9365
Lake_Forest	CA	33.6605	-117.6714
Mission	TX	26.2039	-98.3256
Auburn	WA	47.3039	-122.2108
Brooklyn_Park	MN	45.1112	-93.3505
Bryan	TX	30.665	-96.3807
Springfield	OH	39.93	-83.7959
Hattiesburg	MS	31.3074	-89.317
Westland	MI	42.3192	-83.3805
Cicero	IL	41.8445	-87.7593
Albany	GA	31.5776	-84.1762
Fort_Myers	FL	26.6194	-81.8302
Pine_Hills	FL	28.5818	-81.4692
Atascocita	TX	29.9777	-95.1953
Buena_Park	CA	33.8572	-118.0046
Redwood_City	CA	37.5025	-122.2253
Farmington_Hills	MI	42.486	-83.3771
Alton	IL	38.9037	-90.152
Melbourne	FL	28.1086	-80.6627
Miami_Beach	FL	25.8171	-80.1396
Alhambra	CA	34.084	-118.1355
Williamsburg	VA	37.2693	-76.7076
Madera	CA	36.963	-120.0778
Warwick	RI	41.7062	-71.4334
Cranston	RI	41.7658	-71.4858
Baytown	TX	29.7587	-94.9671
Largo	FL	27.9088	-82.7712
Silver_Spring	MD	39.0028	-77.0207
Lakewood	CA	33.8471	-118.1222
Mountain_View	CA	37.4001	-122.0796
Kankakee	IL	41.102	-87.8643
Johns_Creek	GA	34.0333	-84.2027
Flagstaff	AZ	35.1872	-111.6194
Franklin	TN	35.92	-86.8516
Joplin	MO	37.0757	-94.5018
Parma	OH	41.3843	-81.7286
Layton	UT	41.077	-111.962
New_Rochelle	NY	40.9304	-73.7836
Anderson	SC	34.5211	-82.6478
Lebanon	PA	40.3412	-76.4228
Somerville	MA	42.3908	-71.1014
Yauco	PR	18.0344	-66.8615
St._Joseph	MO	39.7598	-94.821
Plymouth	MN	45.0225	-93.4617
Tustin	CA	33.7311	-117.8107
Zephyrhills	FL	28.2409	-82.1797
Milpitas	CA	37.4336	-121.8921
Florence	AL	34.8303	-87.6655
Pleasanton	CA	37.6663	-121.8805
Boynton_Beach	FL	26.5281	-80.0811
Texarkana	TX	33.45	-94.0847
Folsom	CA	38.6668	-121.1422
Bellflower	CA	33.888	-118.1271
Pharr	TX	26.1685	-98.1904
Homestead	FL	25.4665	-80.4472
Valdosta	GA	30.8502	-83.2788
Upland	CA	34.1178	-117.6604
Evanston	IL	42.0464	-87.6943
Newark	OH	40.0706	-82.425
Elizabethtown	KY	37.7031	-85.8773
St._Augustine	FL	29.8976	-81.31
Rancho_Cordova	CA	38.5737	-121.2527
Alameda	CA	37.7668	-122.267
Chino_Hills	CA	33.9508	-117.7254
Perris	CA	33.7898	-117.2233
Schaumburg	IL	42.0308	-88.0838
Kendall	FL	25.6697	-80.3556
Camarillo	CA	34.223	-119.0321
Anniston	AL	33.6712	-85.8135
Sumter	SC	33.9392	-80.393
Jonesboro	AR	35.8212	-90.6791
Hammond	IN	41.6168	-87.4909
Carmichael	CA	38.6318	-121.3263
Arlington_Heights	IL	42.0955	-87.9826
Morgantown	WV	39.6383	-79.9464
Wyoming	MI	42.8908	-85.7066
Cheyenne	WY	41.135	-104.7902
Pasco	WA	46.2506	-119.1305
Watsonville	CA	36.9206	-121.7708
Southfield	MI	42.4765	-83.2605
Wausau	WI	44.962	-89.6459
Rochester_Hills	MI	42.6645	-83.1563
Loveland	CO	40.4166	-105.0623
Alexandria	LA	31.2923	-92.4702
Pittsburg	CA	38.0182	-121.8965
Hammond	LA	30.5061	-90.4563
South_Jordan	UT	40.557	-111.9784
Battle_Creek	MI	42.2985	-85.2296
Bethlehem	PA	40.6266	-75.3679
Fajardo	PR	18.3331	-65.6589
Davis	CA	38.5553	-121.737
Apple_Valley	CA	34.5352	-117.2109
Pawtucket	RI	41.8744	-71.3743
Wheeling	WV	40.0752	-80.6951
Flower_Mound	TX	33.0343	-97.1146
Harrisonburg	VA	38.4362	-78.8735
Cedar_Park	TX	30.5105	-97.8197
Oshkosh	WI	44.0227	-88.5619
Winchester	VA	39.1735	-78.1746
Caguas	PR	18.2319	-66.0388
Ellicott_City	MD	39.2774	-76.8345
Pocatello	ID	42.8724	-112.4647
Hilton_Head_Island	SC	32.1896	-80.7499
New_Britain	CT	41.6759	-72.7862
Mansfield	OH	40.7656	-82.5275
Woodbury	MN	44.9057	-92.923
Lauderhill	FL	26.1605	-80.2241
Lehi	UT	40.4136	-111.8725
Bolingbrook	IL	41.6901	-88.1021
Dale_City	VA	38.6473	-77.3459
Missouri_City	TX	29.563	-95.5365
Lake_Jackson	TX	29.0516	-95.4521
Altoona	PA	40.5082	-78.4007
Doral	FL	25.8152	-80.3565
Owensboro	KY	37.7575	-87.1172
Centreville	VA	38.839	-77.4389
Mount_Vernon	NY	40.9136	-73.8291
Baldwin_Park	CA	34.0829	-117.9722
Broomfield	CO	39.9542	-105.0526
Redlands	CA	34.0512	-117.1712
Cleveland	TN	35.1817	-84.8707
Dothan	AL	31.2336	-85.407
Camden	NJ	39.9361	-75.1073
Redmond	WA	47.6763	-122.1169
Framingham	MA	42.3085	-71.4368
Jackson	TN	35.6538	-88.8354
Janesville	WI	42.6854	-89.0135
Juana_D¨ªaz	PR	18.0532	-66.5044
Mansfield	TX	32.569	-97.1213
Waukesha	WI	43.0087	-88.2464
Tamarac	FL	26.2056	-80.2539
Wenatchee	WA	47.436	-120.3295
Daytona_Beach	FL	29.1995	-81.0982
Castle_Rock	CO	39.3763	-104.8535
Redondo_Beach	CA	33.8577	-118.3765
Wilmington	DE	39.7415	-75.5416
San_Marcos	TX	29.8734	-97.9356
Union_City	CA	37.6032	-122.0181
Eldersburg	MD	39.4041	-76.9528
Conway	AR	35.0753	-92.4692
Bayonne	NJ	40.6668	-74.1158
